area_identifier,area_name_en,area_name_ms,person_name_en,person_name_sl,post_role_en,post_role_ms,post_label_en,post_label_ms,on_behalf_of_name_en,on_behalf_of_name_ms,actual_party,start_date,end_date,person_id,membership_id,post_id,area_id,on_behalf_of_id
P140/N01,Buloh Kasap,Buloh Kasap,Norsamsu Mohd Yusof,Norsamsu Bin Mohd Yusof,GE14 Candidate for Johor State Assembly,,GE14 Candidate State Representative for Buloh Kasap,,People's Justice Party,Parti Keadilan Rakyat,PPBM,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P140/N01,Buloh Kasap,Buloh Kasap,Zahari Sarip,Zahari Bin Sarip,GE14 Candidate for Johor State Assembly,,GE14 Candidate State Representative for Buloh Kasap,,National Front,Barisan Nasional,UMNO,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P140/N02,Jementah ,Jementah,Chiam Yok Meng,Chiam Yok Meng,GE14 Candidate for Johor State Assembly,,GE14 Candidate State Representative for Buloh Jementah,,National Front,Barisan Nasional,MCA,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P140/N02,Jementah ,Jementah,Khaiful Faizi Ahmad Kamil,Khaiful Faizi Bin Ahmad Kamil,GE14 Candidate for Johor State Assembly,,GE14 Candidate State Representative for Buloh Jementah,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P140/N02,Jementah ,Jementah,Tan Chen Choon,Tan Chen Choon,GE14 Candidate for Johor State Assembly,,GE14 Candidate State Representative for Buloh Jementah,,People's Justice Party,Parti Keadilan Rakyat,DAP,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P141/N03,Pemanis,Pemanis,Chong Fat Full,Chong Fat Full,GE14 Candidate for Johor State Assembly,,GE14 Candidate State Representative for Buloh Pemanis,,People's Justice Party,Parti Keadilan Rakyat,PKR,,,Autofilled,Autofilled,,,
P141/N03,Pemanis,Pemanis,Koo Shiaw Lee,Koo Shiaw Lee,GE14 Candidate for Johor State Assembly,,GE14 Candidate State Representative for Buloh Pemanis,,National Front,Barisan Nasional,GERAKAN,,,Autofilled,Autofilled,,,
P141/N03,Pemanis,Pemanis,Normala Sudirman,Normala Binti Sudirman,GE14 Candidate for Johor State Assembly,,GE14 Candidate State Representative for Buloh Pemanis,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P141/N04,Kemelah,Kemelah,Anuar Abd Manap,Anuar Bin Abd Manap,GE14 Candidate for Johor State Assembly,,GE14 Candidate State Representative for Buloh Kemelah,,National Front,Barisan Nasional,UMNO,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P141/N04,Kemelah,Kemelah,Sulaiman Mohd Nor,Sulaiman Bin Mohd Nor,GE14 Candidate for Johor State Assembly,,GE14 Candidate State Representative for Buloh Kemelah,,People's Justice Party,Parti Keadilan Rakyat,AMANAH,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P142/N05,Tenang,Tenang,Mohd Azahar Ibrahim,Mohd Azahar bin Ibrahim,GE14 Candidate for Johor State Assembly,,GE14 Candidate State Representative for Tenang,,National Front,Barisan Nasional,UMNO,,,,,,,
